Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Nitro 5 AN515-43-R84P,,"15.60""",120 Hz,1920x1080,,,16:9,141 PPI,,R5 3550H,GeForce GTX 1650 Mobile,,,
Acer Nitro 5 AN515-44-R3N9,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R5 4600H,GeForce GTX 1650 Ti Mobile,2.4 kg,23.9 mm,
Acer Nitro 5 AN515-44-R5FT,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,271 cd/m²,R5 4600H,GeForce GTX 1650 Ti Mobile,2.2 kg,24 mm,1000 EUR
Acer Nitro 5 AN515-44-R6TE,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R5 4600H,GeForce GTX 1650 Ti Mobile,2.4 kg,24 mm,
Acer Nitro 5 AN515-44-R7LD,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 4600H,GeForce GTX 1650 Ti Mobile,2.4 kg,23.9 mm,
Acer Nitro 5 AN515-44-R8QT,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R5 4600H,GeForce GTX 1650 Mobile,2.4 kg,23.9 mm,
Acer Nitro 5 AN515-45-NH.QCLSI.001,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 5600H,GeForce RTX 3050 4GB Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R05E,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,268 cd/m²,R5 5600H,GeForce GTX 1650 Mobile,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R19D,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 5600H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R1JH,,"15.60""",144 Hz,2560x1440,IPS,matte,16:9,188 PPI,304 cd/m²,R7 5800H,GeForce RTX 3070 Laptop GPU,2.3 kg,23.9 mm,1699 Euro
Acer Nitro 5 AN515-45-R1JH,,"15.60""",144 Hz,2560x1440,,matte,16:9,188 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,,,
Acer Nitro 5 AN515-45-R1JZ,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R2X0,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,R7 5800H,GeForce RTX 3080 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R36S,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3080 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R3MS,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,1100 Euro
Acer Nitro 5 AN515-45-R588,,"15.60""",165 Hz,2560x1440,,matte,16:9,188 PPI,,R7 5800H,GeForce RTX 3080 Laptop GPU,2.3 kg,23.9 mm,2100 Euro
Acer Nitro 5 AN515-45-R715,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R9 5900HX,GeForce RTX 3080 Laptop GPU,2.3 kg,23.9 mm,2200 Euro
Acer Nitro 5 AN515-45-R7S0,,"15.60""",144 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R8BM,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.3 kg,23.9 mm,1500 Euro
Acer Nitro 5 AN515-45-R92M,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,
Acer Nitro 5 AN515-45-R9GZ,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 5600H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,1200 Euro
Acer Nitro 5 AN515-46-R1A1,,"15.60""",165 Hz,1920x1080,IPS,matte,16:9,141 PPI,320 cd/m²,R7 6800H,GeForce RTX 3070 Ti Laptop GPU,2.5 kg,26.8 mm,1999 Euro
Acer Nitro 5 AN515-46-R1A1,,"15.60""",165 Hz,1920x1080,,matte,16:9,141 PPI,,R7 6800H,GeForce RTX 3070 Ti Laptop GPU,,,
Acer Nitro 5 AN515-46-R606,,"15.60""",165 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 6800H,GeForce RTX 3070 Ti Laptop GPU,2.5 kg,26.8 mm,1800 Euro
Acer Nitro 5 AN515-46-R74X,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R7 6800H,GeForce RTX 3060 Laptop GPU,2.5 kg,26.8 mm,1680 Euro
Acer Nitro 5 AN515-47-R79X,,"15.60""",165 Hz,1920x1080,IPS,,16:9,141 PPI,,R7 7735HS,GeForce RTX 3050 4GB Laptop GPU,2.5 kg,26.9 mm,1400 Euro
Acer Nitro 5 AN515-55-521K,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 3060 Laptop GPU,2.3 kg,23.9 mm,1200 Euro
Acer Nitro 5 AN515-55-524P,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 2060 Mobile,2.3 kg,23.9 mm,
