Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Dell Vostro 15 3535,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 7730U,Vega 8,1.9 kg,18.99 mm,
"Dell Vostro 3520, i3-1215U",,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i3-1215U,UHD Graphics 64EUs,1.7 kg,22.5 mm,
"Dell Vostro 3520, i5-1235U",,"15.60""",120 Hz,1920x1080,,matte,16:9,141 PPI,,i5-1235U,Iris Xe G7 80EUs,1.7 kg,19 mm,
Dell XPS 13 9340 Core Ultra 7,,"13.40""",120 Hz,1920x1200,IPS,matte,16:10,169 PPI,407 cd/m²,Ultra 7 155H,Arc 8-Core,1.2 kg,15.3 mm,1619 Euro
Dell XPS 13 9345,,"13.40""",120 Hz,1920x1200,IPS,matte,16:10,169 PPI,487 cd/m²,SD X Elite X1E-80-100,Adreno X1-85 3.8 TFLOPS,1.2 kg,15.3 mm,1300 USD
Dell XPS 14 2024 OLED,,"14.50""",120 Hz,3200x2000,OLED,glossy,16:10,260 PPI,353 cd/m²,Ultra 7 155H,NVIDIA GeForce RTX 4050 Laptop GPU,1.8 kg,19 mm,2949 Euro
Dell XPS 14 9440,,"14.50""",120 Hz,1920x1200,IPS,matte,16:10,156 PPI,,Ultra 7 155H,Arc 8-Core,1.7 kg,19 mm,
Dell XPS 16 9640,,"16.30""",090 Hz,3840x2400,OLED,glossy,16:10,139 PPI,367 cd/m²,Ultra 7 155H,NVIDIA GeForce RTX 4070 Laptop GPU,2.3 kg,18.7 mm,
"Dell XPS 16 9640, Ultra 7 165H RTX 4070",,"16.30""",120 Hz,1920x1200,IPS,matte,16:10,139 PPI,,Ultra 7 165H,NVIDIA GeForce RTX 4070 Laptop GPU,2.1 kg,18.7 mm,
Dream Machines 15 RG3050Ti-15PL20,,"15.60""",144 Hz,1920x1080,WVA,,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,24.9 mm,
Dream Machines 15 RG3050Ti-15PL21,,"15.60""",144 Hz,1920x1080,WVA,,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,24.9 mm,
Dream Machines 15 RG3050Ti-15PL25,,"15.60""",144 Hz,1920x1080,WVA,,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,24.9 mm,
Dream Machines 15 RG3050Ti-15PL26,,"15.60""",144 Hz,1920x1080,WVA,,16:9,141 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,24.9 mm,
Dream Machines 17 RG3050Ti-17PL25,,"17.30""",144 Hz,1920x1080,,,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.5 kg,25.9 mm,
Dream Machines 17 RG3050Ti-17PL26,,"17.30""",144 Hz,1920x1080,WVA,,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.5 kg,25.9 mm,
Eluktronics Mech-17 GP2,,"17.00""",240 Hz,2560x1600,IPS,matte,16:10,178 PPI,387 cd/m²,i9-13900HX,NVIDIA GeForce RTX 4090 Laptop GPU,2.9 kg,27 mm,3300 USD
Eluktronics RP-15,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,289 cd/m²,R7 4800H,GeForce RTX 2060 Mobile,1.9 kg,20 mm,1200 USD
Eluktronics RP-17,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,301 cd/m²,R7 4800H,GeForce RTX 2060 Mobile,2.6 kg,30 mm,1300 USD
Eurocom Nightsky ARX315,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,294 cd/m²,R9 5900X,GeForce RTX 3070 Laptop GPU,2.6 kg,32.5 mm,2600 USD
Eurocom Nightsky TXi317,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,292 cd/m²,i7-12700H,GeForce RTX 3080 Ti Laptop GPU,2.9 kg,27 mm,4100 USD
Eurocom Raptor X15,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,282 cd/m²,i7-12700K,GeForce RTX 3070 Ti Laptop GPU,2.7 kg,32.5 mm,3500 USD
Eurocom Raptor X17,,"17.30""",240 Hz,2560x1440,IPS,matte,16:9,170 PPI,292 cd/m²,i9-13900HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.5 kg,24.9 mm,6600 USD
Eurocom Raptor X17 Core i9-14900HX,,"17.30""",144 Hz,3840x2160,IPS,matte,16:9,255 PPI,507 cd/m²,i9-14900HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.4 kg,24.9 mm,4500 USD
Eurocom RX315 NH57AF1,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,273 cd/m²,i7-11800H,GeForce RTX 3070 Laptop GPU,2 kg,20 mm,
Framework Laptop 13.5 Core Ultra 7 155H,,"13.50""",120 Hz,2880x1920,IPS,matte,3:2,256 PPI,464 cd/m²,Ultra 7 155H,Arc 8-Core,1.4 kg,15.85 mm,1500 USD
Framework Laptop 16,,"16.00""",165 Hz,2560x1600,,matte,16:10,189 PPI,490 cd/m²,R9 7940HS,Radeon RX 7700S,2.4 kg,20.95 mm,2400 USD
Gateway Creator Series 15.6 GWTN156-3BK,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,284 cd/m²,i5-10300H,GeForce RTX 2060 Mobile,2 kg,19.9 mm,1000 USD
Gigabyte A5 K1,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,281 cd/m²,R5 5600H,GeForce RTX 3060 Laptop GPU,2.2 kg,34 mm,899 EUR
Gigabyte A5 X1,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,325 cd/m²,R9 5900HX,GeForce RTX 3070 Laptop GPU,2.2 kg,25.3 mm,1799 Euro
Gigabyte A5 X1,,"15.60""",240 Hz,1920x1080,,matte,16:9,141 PPI,,R9 5900HX,Vega 8,,,
Gigabyte A5 X1,,"15.60""",240 Hz,1920x1080,,matte,16:9,141 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,,,
Gigabyte A5 X1,,"15.60""",240 Hz,1920x1080,,matte,16:9,141 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,,,
Gigabyte A5 X1,,"15.60""",240 Hz,1920x1080,,matte,16:9,141 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,,,
Gigabyte A7 X1,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,318 cd/m²,R9 5900HX,GeForce RTX 3070 Laptop GPU,2.5 kg,34 mm,1800 Euro
Gigabyte Aero 14 OLED BMF,,"14.00""",090 Hz,2880x1800,OLED,glossy,16:10,243 PPI,427 cd/m²,i7-13700H,NVIDIA GeForce RTX 4050 Laptop GPU,1.4 kg,17 mm,1997 Euro
Gigabyte Aero 15 OLED XC,,"15.60""",144 Hz,3840x2160,,,16:9,,,i7-10870H,GeForce RTX 3070 Laptop GPU,2 kg,20 mm,2299 Euro
Gigabyte Aero 15 WB-7ES1130SH,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2 kg,20 mm,
Gigabyte Aero 15 XB-7DE1130SH,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2 kg,20 mm,2100 Euro
Gigabyte Aero 15 XC,,"15.60""",144 Hz,1920x1080,,,16:9,,,i7-10870H,GeForce RTX 3070 Laptop GPU,2 kg,20 mm,2099 Euro
Gigabyte Aero 17 KC,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10870H,GeForce RTX 3060 Laptop GPU,2.5 kg,21.4 mm,1950 Euro
Gigabyte Aorus 15 BSF,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-13700H,NVIDIA GeForce RTX 4070 Laptop GPU,2.3 kg,20.9 mm,1950 Euro
Gigabyte Aorus 15G XC,,"15.60""",240 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10870H,GeForce RTX 3070 Laptop GPU,2 kg,24 mm,
Gigabyte Aorus 17G Xc,,"17.30""",300 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10870H,GeForce RTX 3070 Laptop GPU,2.7 kg,26 mm,
Gigabyte Aorus 5 KB-7ES1130SD,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,,,
Gigabyte Aorus 5 SB-7UK1131SH,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce GTX 1660 Ti Mobile,,,
Gigabyte Aorus GeForce RTX 4070 Ti Master, ,"28.00""",144 Hz,3840x2160,,matte,16:9,157 PPI,,i9-13900K,NVIDIA GeForce RTX 4070 Ti,,,
Gigabyte Aorus Waterforce X II 360,,"28.00""",144 Hz,3840x2160,,matte,16:9,157 PPI,,i9-13900K,NVIDIA GeForce RTX 4070 Ti SUPER,,,
Gigabyte G5 GD,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,246 cd/m²,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.1 kg,31.6 mm,749 Euro
Gigabyte G5 GD,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-11400H,UHD Graphics Xe 16EUs (Tiger Lake-H),,,
Gigabyte G5 GD,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,,,
Gigabyte G5 GD,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,,,
Gigabyte G5 GD-51US123SH,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.2 kg,24.9 mm,1100 Euro
Gigabyte G5 GE,,"15.60""",144 Hz,1920x1080,,glossy,16:9,141 PPI,,i5-12500H,GeForce RTX 3050 4GB Laptop GPU,1.9 kg,22.7 mm,850 Euro
Gigabyte G5 KC,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10875H,GeForce RTX 3060 Laptop GPU,2.2 kg,27.9 mm,1499 Euro
Gigabyte G5 KC,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,275 cd/m²,i5-10500H,GeForce RTX 3060 Laptop GPU,2.1 kg,28 mm,1000 Euro
Gigabyte G5 KD-52DE123SD, ,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3060 Laptop GPU,2 kg,31.6 mm,900 Euro
Gigabyte G5 KE,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i5-12500H,GeForce RTX 3050 6GB Laptop GPU,2 kg,23.9 mm,900 Euro
Gigabyte G5 KE,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,248 cd/m²,i5-12500H,GeForce RTX 3060 Laptop GPU,2 kg,23.9 mm,1152 Euro
Gigabyte G5 KF,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,275 cd/m²,i5-12500H,NVIDIA GeForce RTX 4060 Laptop GPU,1.9 kg,22.7 mm,999 Euro
Gigabyte G5 MD-51US123SH,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,24.9 mm,1200 Euro
Gigabyte G5 MF,,"15.60""",144 Hz,1920x1080,,glossy,16:9,141 PPI,,i5-12500H,NVIDIA GeForce RTX 4050 Laptop GPU,1.9 kg,22.7 mm,800 Euro
Gigabyte G6X 9KG (2024),,"16.00""",165 Hz,1920x1200,IPS,matte,16:10,142 PPI,318 cd/m²,i7-13650HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.6 kg,25.1 mm,1349 Euro
Gigabyte G6X 9MG,,"16.00""",165 Hz,1920x1200,,,16:10,142 PPI,,i7-13650HX,NVIDIA GeForce RTX 4050 Laptop GPU,2.5 kg,28.9 mm,
Gigabyte G7 GD,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i5-11400H,GeForce RTX 3050 4GB Laptop GPU,2.4 kg,32.3 mm,
Gigabyte G7 KC,,"17.30""",144 Hz,1920x1080,,,16:9,,,i7-10870H,GeForce RTX 3060 Laptop GPU,2.5 kg,29.5 mm,
Gigabyte G7 KE,,"17.30""",300 Hz,1920x1080,IPS,matte,16:9,127 PPI,301 cd/m²,i5-12500H,GeForce RTX 3060 Laptop GPU,2.6 kg,25 mm,1199 Euro
Hongo Portable Monitor 16.1 2K, ,"16.10""",120 Hz,2560x1600,,matte,16:10,188 PPI,321 cd/m²,,,,,
Hongo Portable Monitor 18.5, ,"18.50""",100 Hz,1920x1080,,,16:9,119 PPI,219 cd/m²,,,,,
Honor Hunter V700,,"16.10""",144 Hz,1920x1080,,,16:9,137 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.5 kg,20 mm,
Honor MagicBook 16,,"16.10""",144 Hz,1920x1080,IPS,,16:9,137 PPI,,R5 5600H,Vega 6,1.8 kg,24 mm,
Honor MagicBook 16 2022,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,329 cd/m²,R5 5600H,Vega 7,1.8 kg,18.2 mm,1000 Euro
Honor MagicBook Art 14,,"14.60""",120 Hz,3120x2080,OLED,glossy,3:2,257 PPI,480 cd/m²,Ultra 7 155H,Arc 8-Core,1 kg,12.9 mm,
Honor MagicBook Pro 16 2024,,"16.00""",165 Hz,3072x1920,IPS,matte,16:10,226 PPI,524 cd/m²,Ultra 7 155H,NVIDIA GeForce RTX 4060 Laptop GPU,1.9 kg,17.9 mm,
Honor MagicBook View 14,,"14.20""",090 Hz,2520x1680,LTPS,glossy,3:2,213 PPI,408 cd/m²,i7-11390H,Iris Xe G7 96EUs,1.5 kg,14.5 mm,1150 EUR
"Honor MagicBook View 14, i5-11320H",,"14.20""",090 Hz,2520x1680,,,3:2,213 PPI,,i5-11320H,Iris Xe G7 96EUs,1.5 kg,14.5 mm,
Honor Pad 9,,"12.10""",120 Hz,2560x1600,IPS LCD,glossy,16:10,249 PPI,570 cd/m²,SD 6 Gen 1,Adreno 710,555 g,6.96 mm,350 Euro
Honor Pad V8 Pro,,"12.10""",144 Hz,2560x1600,IPS,glossy,16:10,249 PPI,,Dimensity 8100,Mali-G610 MP6,589 g,7 mm,350 Euro
Honor Pad X9,,"11.50""",120 Hz,2000x1200,TFT,glossy,5:3,203 PPI,,SD 685,Adreno 610,495 g,6.9 mm,
"HP EliteBook 840 G10, i7-1360P",,"14.00""",120 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-1360P,Iris Xe G7 96EUs,1.4 kg,19.2 mm,
HP EliteBook 845 G10 818N0EA,,"14.00""",120 Hz,2560x1600,IPS,glossy,16:10,216 PPI,564 cd/m²,R9 PRO 7940HS,Radeon 780M,1.5 kg,17.9 mm,2249 Euro
HP EliteBook 845 G10 818N0EA,,"14.00""",120 Hz,2560x1600,,,16:10,,,R9 PRO 7940HS,Radeon 780M,,,
HP Envy 16-h0795ng,,"16.00""",120 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i9-12900H,GeForce RTX 3060 Laptop GPU,2.7 kg,19.9 mm,
HP Envy 16-h1000,,"16.00""",120 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,2.7 kg,19.9 mm,
HP Envy x360 14-fa0000,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,R7 8840HS,Radeon 780M,1.4 kg,16.9 mm,
HP Envy x360 14-fc,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,,Ultra 7 155U,Graphics 4-Core,1.4 kg,16.9 mm,1300 Euro
HP Envy x360 15-ew0004ns,,"15.60""",120 Hz,2560x1440,IPS,glossy,16:9,188 PPI,,i5-1240P,Iris Xe G7 80EUs,1.8 kg,18.6 mm,
HP Envy x360 2-in-1 14-fc0078TU,,"14.00""",120 Hz,2880x1800,OLED,glossy,16:10,243 PPI,368 cd/m²,Ultra 5 125U,Graphics 4-Core,1.4 kg,17.5 mm,1140 USD
HP Envy x360 2-in-1 16-ad0097nr,,"16.00""",120 Hz,2880x1800,OLED,glossy,16:10,212 PPI,405 cd/m²,R7 8840HS,Radeon 780M,1.8 kg,18.3 mm,1300 USD
HP Gaming Pavilion 15-dk1003ns,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Max-Q,2.2 kg,23.4 mm,
HP Gaming Pavilion 15-dk1064tx,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 2060 Max-Q,2.2 kg,23.4 mm,
HP Omen 15-dc0006ng, ,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-8750H,GeForce GTX 1060 Mobile,,,
HP Omen 15-dc1016no,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-8750H,GeForce RTX 2070 Mobile,2.4 kg,28 mm,
HP Omen 15-dc1049ns,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-9300H,GeForce GTX 1650 Mobile,2.3 kg,26 mm,
HP Omen 15-dh0008ns,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i9-9880H,GeForce RTX 2080 Mobile,2.6 kg,20.4 mm,
HP Omen 15-dh1020tx,,"15.60""",300 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Mobile,2.4 kg,20 mm,
HP Omen 15-dh1059nr,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.4 kg,20 mm,1200 Euro
HP Omen 15-dh1267ng,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Super Max-Q,2.5 kg,20 mm,
HP Omen 15-dh1770ng,,"15.60""",300 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Super Max-Q,2.7 kg,20 mm,1950 Euro
HP Omen 15-ek0001nc,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.5 kg,22.5 mm,
HP Omen 15-ek0003np,,"15.60""",300 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.4 kg,22.5 mm,
HP Omen 15-ek0005ns,,"15.60""",144 Hz,1920x1080,,matte,16:9,,,i7-10750H,GeForce RTX 2060 Mobile,2.4 kg,22.5 mm,
HP Omen 15-ek0009nw,,"15.60""",300 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.4 kg,22.5 mm,
HP Omen 15-ek0039ur,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.5 kg,22.5 mm,
HP Omen 15-ek0071ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce GTX 1660 Ti Mobile,2.4 kg,23 mm,1600 Euro
HP Omen 15-ek0277ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.4 kg,23 mm,1600 Euro
HP Omen 15-ek0456ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,293 cd/m²,i5-10300H,GeForce GTX 1660 Ti Mobile,2.1 kg,32 mm,1239 EUR
HP Omen 15-ek1000ns,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10870H,GeForce RTX 3060 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-ek1004ns,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10870H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-ek1013ur,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-ek1035TX,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-ek1047nf,,"15.60""",300 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-en0004ns,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.5 kg,22.5 mm,
HP Omen 15-en0006na,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,2.4 kg,22.5 mm,
HP Omen 15-en0013ax,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.4 kg,22.5 mm,
HP Omen 15-en0016ns,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.4 kg,22.5 mm,1250 Euro
HP Omen 15-en0029nr,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,2.5 kg,22.5 mm,1100 Euro
HP Omen 15-en0046nf,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R7 4800H,GeForce RTX 2060 Mobile,2.4 kg,22.5 mm,
HP Omen 15-en0261ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1650 Ti Mobile,2.4 kg,22.5 mm,1200 Euro
HP Omen 15-en0263ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 4800H,GeForce GTX 1660 Ti Mobile,2.4 kg,22.5 mm,1300 Euro
HP Omen 15-en1004ns,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-en1006ns,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-en1009ns,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-en1029ax,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5700U,GeForce RTX 3060 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15-en1177ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R7 5800H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.5 mm,1600 Euro
HP Omen 15-en1268ng,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 5600H,GeForce RTX 3060 Laptop GPU,2.5 kg,22.5 mm,1400 Euro
HP Omen 15-en1274ng,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,R7 5800H,GeForce RTX 3060 Laptop GPU,2.5 kg,22.5 mm,1700 Euro
HP Omen 15-en1845no,,"15.60""",165 Hz,2560x1440,IPS,glossy,16:9,282 PPI,,R9 5900HX,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,
HP Omen 15t-ek000,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Ti Mobile,2.4 kg,23 mm,1000 Euro
HP Omen 16 (2024),,"16.10""",240 Hz,2560x1440,IPS,matte,16:9,182 PPI,291 cd/m²,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.4 kg,23.5 mm,3200 Euro
HP Omen 16 (2024),,"16.10""",240 Hz,2560x1440,IPS,matte,16:9,182 PPI,,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,,,
HP Omen 16-b0028ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.3 kg,23 mm,
HP Omen 16-b0064TX,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.3 kg,23 mm,
HP Omen 16-b0085ng,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,378 cd/m²,i7-11800H,GeForce RTX 3070 Laptop GPU,2.4 kg,23 mm,1799 Euro
HP Omen 16-b0352TX,,"16.00""",144 Hz,1920x1080,IPS,matte,16:9,138 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,23 mm,
HP Omen 16-b0426no,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.3 kg,23 mm,
HP Omen 16-b1012ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.3 kg,23 mm,
HP Omen 16-b1013ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.3 kg,23 mm,
HP Omen 16-b1020ns,,"16.10""",165 Hz,2560x1440,IPS,matte,16:9,182 PPI,,i7-12700H,GeForce RTX 3070 Laptop GPU,2.4 kg,23 mm,
HP Omen 16-b1023ns,,"16.10""",165 Hz,2560x1440,IPS,matte,16:9,182 PPI,,i7-12700H,GeForce RTX 3070 Laptop GPU,2.4 kg,23 mm,
HP Omen 16-b1075ng,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.3 kg,23 mm,1600 Euro
HP Omen 16-b1090ng,,"16.10""",165 Hz,2560x1440,IPS,matte,16:9,182 PPI,319 cd/m²,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.3 kg,23 mm,2199 EUR
HP Omen 16-c0007ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,R9 5900HX,Radeon RX 6600M,2.3 kg,22.5 mm,
HP Omen 16-c0010ca,,"16.10""",144 Hz,1920x1080,,matte,16:9,137 PPI,,R7 5800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,23 mm,
HP Omen 16-c0025ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,R7 5800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,22.5 mm,
HP Omen 16-c0026ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,R7 5800H,Radeon RX 6600M,2.3 kg,23 mm,1000 Euro
HP Omen 16-c0027ns,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,R7 5800H,GeForce RTX 3050 Ti Laptop GPU,2.3 kg,22.5 mm,
HP Omen 16-c0075ng,,"16.10""",144 Hz,1920x1080,IPS,matte,16:9,137 PPI,,R7 5800H,Radeon RX 6600M,2.3 kg,23 mm,
HP Omen 16-c0077ng,,"16.10""",165 Hz,2560x1440,IPS,matte,16:9,182 PPI,283 cd/m²,R7 5800H,Radeon RX 6600M,2.3 kg,26 mm,1700 Euro
